City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Dabakala,CI,71.15,light rain,8.3667,-4.4333,Mosquée
Ukiah,US,87.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
San Patricio,US,80.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
Tevaitoa,PF,77.74,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
Araguacu,BR,86.85,broken clouds,-12.9306,-49.8264,Hotel Tocantins
Quatre Cocos,MU,71.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
Garissa,KE,75.0,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
Andros Town,BS,78.76,few clouds,24.7,-77.7667,Hanks place
Kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
Atambua,ID,84.72,overcast clouds,-9.1061,124.8925,Ros Muskanan
Katobu,ID,82.62,overcast clouds,-4.9408,122.5276,La Ode Husein
San Ignacio,BZ,80.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
Autazes,BR,79.84,scattered clouds,-3.5797,-59.1306,Hotel Tupinambá
Tahoua,NE,85.15,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
Yulara,AU,84.74,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
Yenagoa,NG,74.46,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
Marsh Harbour,BS,79.52,broken clouds,26.5412,-77.0636,Abaco Beach Resort
Marzuq,YE,70.52,scattered clouds,14.4,46.4667,حيد القفلة
Yanam,IN,78.31,overcast clouds,16.7333,82.2167,The Regency Hotel
Mayumba,GA,75.81,light rain,-3.432,10.6554,LIKWALE LODGE
Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
Rincon De La Victoria,ES,70.84,clear sky,36.7172,-4.2758,Fay Hotels Victoria Beach
Pozo Colorado,PY,74.52,scattered clouds,-23.4923,-58.7972,Hospedaje La Norteña
Ixtapa,MX,75.54,broken clouds,20.7,-105.2,hotel la terminal
Sampit,ID,85.73,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
Hunucma,MX,71.38,clear sky,21.0167,-89.8667,Casa de Maribel Pamplona Poot
Kaliyaganj,IN,79.65,overcast clouds,25.6333,88.3167,Bubai Modak
Palmeiras De Goias,BR,72.48,light rain,-16.805,-49.9258,Hotel Água Virada
Porto Novo,BJ,75.58,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
Waingapu,ID,86.32,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
Maragogi,BR,75.52,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
Blackwater,AU,80.78,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
Alyangula,AU,87.06,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
Kuching,MY,77.22,light rain,1.55,110.3333,Hilton Kuching
Cabo San Lucas,MX,83.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
Samarai,PG,82.96,broken clouds,-10.6167,150.6667,Nuli Sapi
Ciudad Guayana,VE,73.33,overcast clouds,8.3533,-62.6528,Hotel Las Americas
Radhanpur,IN,82.67,overcast clouds,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
Kattivakkam,IN,77.09,light rain,13.2167,80.3167,Euronova Freezer
Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
Suez,EG,70.72,clear sky,29.9737,32.5263,Green House
Bengkulu,ID,81.46,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Sola,VU,84.87,few clouds,-13.8833,167.55,Leumerus Bungalows
Los Llanos De Aridane,ES,73.13,clear sky,28.6585,-17.9182,Valle Aridane
Bonthe,SL,76.87,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
Silifke,TR,73.26,clear sky,36.3778,33.9344,Ayatekla Hotel
Katsina,NG,76.89,clear sky,12.9894,7.6006,Katsina Motel
Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
Pringsewu,ID,79.48,overcast clouds,-5.3582,104.9744,Urban Style by Front One
San Rafael Del Sur,NI,79.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
Santa Rosalia,MX,78.51,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
Mogadishu,SO,77.11,few clouds,2.0371,45.3438,Hotel Juba
Bandarbeyla,SO,75.87,clear sky,9.4942,50.8122,JABIR HOTEL
Sabang,ID,79.92,overcast clouds,5.8933,95.3214,Hotel Citra
Marawi,PH,80.51,broken clouds,7.9986,124.2928,Derogongan Residence
Lompoc,US,75.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Kapoeta,SS,70.83,broken clouds,4.7717,33.5903,Eastgate Hotel
San Carlos,VE,72.39,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
Palimbang,PH,87.12,overcast clouds,6.2106,124.1894,Felmar Beach resort
Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
Tura,IN,75.97,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
Nabire,ID,84.02,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
Diapaga,BF,76.75,broken clouds,12.0708,1.7889,Hôtel GACILIE
Maceio,BR,74.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
Stephenville,US,75.99,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
Itarema,BR,78.28,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Soyo,AO,74.95,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
Karratha,AU,85.5,clear sky,-20.7377,116.8463,ibis Styles Karratha
Pandaria,IN,74.61,broken clouds,22.2333,81.4167,Sonu Rajak
Touros,BR,76.78,clear sky,-5.1989,-35.4608,INN NEW HORIZON
Kabin Buri,TH,76.12,light rain,13.9511,101.7177,At Home Kabinburi
Pundaguitan,PH,82.6,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
Winslow,US,73.58,overcast clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
West Odessa,US,73.42,broken clouds,31.8424,-102.4988,Corporate Mobile Housing
Bandiagara,ML,83.66,scattered clouds,14.3501,-3.6104,Hotel de la Falaise
Dhidhdhoo,MV,81.63,overcast clouds,6.8833,73.1,Dhidhoo beach
Quang Ngai,VN,83.1,overcast clouds,15.1167,108.8,Central Hotel
Half Moon Bay,US,79.23,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
Kanker,IN,75.36,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
Marsa Matruh,EG,71.8,few clouds,31.3525,27.2453,Beau Site
Houma,US,71.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
Acapulco,MX,79.56,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
Namatanai,PG,84.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
Weligama,LK,78.66,overcast clouds,5.9667,80.4167,Weligama Bay Resort
Cocobeach,GA,77.13,light rain,1.0002,9.5823,Hotel Esperance
Saint George,US,86.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
Manokwari,ID,84.11,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
Bubaque,GW,81.59,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
Siparia,TT,74.82,overcast clouds,10.1333,-61.5,Brook Gardens
Wenling,CN,71.83,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
Itaituba,BR,81.61,broken clouds,-4.2761,-55.9836,Hotel Campos
Charters Towers,AU,85.39,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
Balabac,PH,85.41,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
Nicoya,CR,75.56,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
Bocanda,CI,71.19,broken clouds,7.0626,-4.4995,Résidence Hôtel
Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
Sur,OM,81.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
Ranong,TH,80.53,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
Hirara,JP,84.06,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
Vilhena,BR,70.07,few clouds,-12.7406,-60.1458,Hotel Mirage
Puerto Escondido,MX,80.37,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
Santa Isabel Do Rio Negro,BR,76.5,clear sky,-0.4139,-65.0192,Hotel GSA
Ankpa,NG,70.34,overcast clouds,7.3706,7.6253,AA Suites
Victor Harbor,AU,70.0,clear sky,-35.5667,138.6167,McCracken Country Club
Dhari,IN,75.16,overcast clouds,21.3333,71.0167,Anand pan & coldrinks
Nkayi,CG,73.81,light rain,-4.1841,13.2884,Résidence privée du Maire NKAYI
Berbera,SO,85.73,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
Hit,IQ,82.11,clear sky,33.6416,42.8251,المعلق حسان رزاق
Puerto Leguizamo,CO,80.56,broken clouds,-0.1934,-74.7819,la casona de juancho
Jibuti,DJ,78.8,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
Lampang,TH,82.27,broken clouds,18.3333,99.5,Mrs Luis Guest House
Makakilo City,US,82.15,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
Akhmim,EG,77.2,clear sky,26.5622,31.745,برج الماسة السكني
Castelo Do Piaui,BR,77.27,clear sky,-5.3222,-41.5525,Nobre Hotel
Beaufort,MY,87.44,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
Harper,LR,75.85,light rain,4.375,-7.7169,Screensaver
Umm Lajj,SA,84.02,clear sky,25.0213,37.2685,Moon light Furnished Units
Ladario,BR,81.88,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
Jacareacanga,BR,78.87,broken clouds,-6.2222,-57.7528,Casa do Ian😎
Rio Hato,PA,79.79,overcast clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
Sumter,US,71.1,clear sky,28.7086,-82.0831,Paradise Oaks RV Resort
Luxor,EG,80.65,clear sky,25.6989,32.6421,Iberotel Luxor
